Keyword;Position;Previous Position;Search Volume;CPC;Url;Traffic;Traffic (%);Competition;Keyword Difficulty;Intents;Trends
do you get paid for fostering;2;2;170;1.86;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;11;0.06;0.54;18.00;1;0.34,0.65,0.65,0.53,0.65,0.65,0.43,0.53,0.81,0.34,1.00,0.43
how much do you get fostering;1;1;140;1.72;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;11;0.06;0.61;17.00;1;0.11,0.65,0.80,0.80,0.65,0.65,1.00,0.34,0.26,0.34,0.26,0.34
fostering allowance;11;11;1600;2.01;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/tax-and-foster-care/;11;0.06;0.57;23.00;1;0.54,0.79,0.79,0.66,0.66,0.66,0.54,0.66,0.54,0.54,0.54,0.54
what is therapeutic fostering;2;2;170;1.76;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/training/therapeutic-fostering/;11;0.06;0.55;9.00;1;0.15,0.65,0.80,0.65,0.80,1.00,1.00,1.00,0.65,0.53,0.42,0.42
types of foster care;3;3;260;2.12;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/;11;0.06;0.36;9.00;1;0.54,0.81,0.66,0.81,1.00,0.81,0.54,0.54,0.29,0.29,0.22,0.35
therapeutic foster care;5;5;480;3.05;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/training/therapeutic-fostering/;11;0.06;0.56;12.00;1;0.35,1.00,1.00,1.00,0.81,1.00,0.81,0.81,0.66,0.81,0.81,0.81
foster infants;1;0;90;3.57;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/fostering-a-baby/;11;0.06;0.65;19.00;1;0.04,0.02,0.04,0.02,0.04,0.02,0.02,0.81,0.00,0.02,1.00,0.02
skills to foster training;3;3;260;1.46;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/training/foundations-to-foster/;11;0.06;0.66;9.00;1;0.43,0.81,1.00,0.81,0.54,0.43,0.43,0.54,0.43,0.43,0.22,0.22
how much do you earn fostering;2;2;170;1.85;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;11;0.06;0.56;15.00;1;0.04,0.10,0.10,0.08,0.08,0.07,0.04,0.05,0.04,0.08,0.07,0.05
fostering staying put allowance;2;2;170;2.03;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/staying-put/;11;0.06;0.33;8.00;1;0.53,1.00,1.00,0.81,0.53,0.65,0.65,0.53,0.34,0.43,0.34,0.34
what does a foster carer get paid;1;1;90;1.41;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;11;0.06;0.60;15.00;1;0.64,0.50,0.64,0.50,0.64,0.78,0.50,1.00,0.50,0.64,0.64,0.64
how much do foster parents make uk;1;1;140;1.44;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;11;0.06;0.37;17.00;1;0.11,0.28,0.23,0.23,0.28,0.28,0.35,0.23,0.15,0.11,0.15,0.18
how to foster a child uk;4;4;320;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;11;0.06;0.00;22.00;1;0.44,0.44,0.29,0.36,0.36,0.29,0.29,0.29,0.29,0.23,0.29,0.29
what is respite foster care;1;1;90;2.09;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/stayover-care/;11;0.06;0.59;7.00;1;0.64,0.64,0.78,1.00,0.78,0.78,0.64,0.50,0.64,0.64,0.64,0.64
how much do foster parents earn;1;1;140;1.61;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;11;0.06;0.54;20.00;1;0.15,0.35,0.15,0.15,0.28,0.18,0.23,0.23,0.28,0.23,0.23,0.23
fostering do you get paid;1;1;140;1.86;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;11;0.06;0.54;19.00;1;1.00,0.28,0.35,0.28,0.35,0.43,0.53,0.35,0.28,0.23,0.17,0.23
fostering income;2;2;170;1.57;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;11;0.06;0.51;22.00;1;0.52,1.00,1.00,0.80,0.52,0.52,1.00,0.80,0.66,0.66,0.52,0.52
how to become a respite carer;1;1;140;2.92;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/stayover-care/;11;0.06;0.53;17.00;1;0.41,1.00,1.00,1.00,0.82,0.82,1.00,0.82,0.64,0.64,0.52,0.64
foster child;5;5;480;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/long-term-fostering/;11;0.06;0.00;32.00;1;0.20,0.36,0.36,0.36,0.36,0.45,0.36,0.36,0.30,0.36,0.01,0.01
how does fostering work;3;3;260;2.48;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;11;0.06;0.54;29.00;1;0.23,0.66,0.66,0.66,0.66,0.53,1.00,1.00,0.82,1.00,0.82,0.82
do you get paid to be a foster carer;1;1;90;1.93;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;11;0.06;0.62;14.00;1;0.64,0.50,0.50,0.64,0.64,0.78,0.78,0.50,0.64,0.50,0.64,0.50
do foster families get paid;2;2;170;1.52;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;11;0.06;0.49;15.00;1;0.65,0.21,0.34,1.00,0.53,0.43,0.53,0.65,0.65,0.65,0.43,0.53
parent and child foster care;2;2;170;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/parent-and-child-fostering/;11;0.06;0.00;8.00;1;0.06,0.65,0.81,0.53,0.65,1.00,0.53,0.43,0.43,0.34,0.43,0.65
foster parents uk;4;4;320;5.19;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;11;0.06;0.68;22.00;1;0.66,0.28,0.66,0.28,0.35,0.44,0.54,0.81,0.81,0.81,0.54,0.54
foster care pay scale uk;3;3;260;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;11;0.06;0.21;22.00;1;0.28,0.54,0.66,0.54,0.44,0.35,0.81,0.35,0.18,0.23,0.18,0.18
foster care salary;2;2;170;2.04;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;11;0.06;0.53;22.00;1;0.52,0.80,1.00,0.80,0.80,0.66,0.66,0.66,0.80,0.80,0.66,0.66
how much do you get to be a foster parent;2;2;170;1.72;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;11;0.06;0.61;16.00;1;0.66,0.15,0.19,0.15,0.19,0.23,0.36,0.19,0.29,0.15,0.15,0.15
can you work and foster;4;4;320;3.02;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/who-can-foster/can-you-foster-and-work-full-time/;11;0.06;0.53;18.00;1;0.35,0.66,0.66,0.54,0.54,1.00,0.81,0.81,0.54,0.43,0.54,0.54
is foster care income taxable;2;2;170;1.56;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/tax-and-foster-care/;11;0.06;0.15;5.00;1;0.42,0.80,0.80,0.65,0.80,0.80,0.65,0.65,0.53,0.42,0.42,0.53
long term fostering uk;2;2;170;3.01;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/long-term-fostering/;11;0.06;0.65;9.00;1;0.15,0.44,0.28,0.28,0.35,0.44,0.35,0.28,0.23,0.28,0.18,0.18
can you foster with a criminal record;5;5;390;3.36;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/who-can-foster/what-can-disqualify-you-from-fostering-a-child/;11;0.06;0.37;8.00;1;0.07,0.16,0.20,0.20,0.16,0.20,0.20,0.16,0.10,0.16,0.10,0.05
how much fostering pays;1;1;90;1.31;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;11;0.06;0.61;16.00;1;0.26,0.26,0.34,0.19,0.26,0.15,0.26,0.80,0.19,0.15,0.42,0.26
foster care how much does it pay;2;2;260;1.43;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;11;0.06;0.60;19.00;1;0.35,0.43,0.28,0.43,0.66,0.82,0.82,1.00,0.82,0.53,0.82,0.82
fostering manager jobs;2;2;140;0.59;https://www.nationalfosteringgroup.co.uk/careers/work-for-us/social-work/practice-manager/;11;0.06;0.03;10.00;0;0.66,0.42,0.42,0.52,0.66,0.52,0.66,0.42,0.80,0.80,1.00,0.80
can you foster if you smoke;1;1;90;4.31;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/who-can-foster/can-you-foster-if-you-smoke-or-vape/;11;0.06;0.43;7.00;1;0.81,1.00,0.63,1.00,0.81,1.00,0.81,0.81,0.63,0.63,0.63,0.81
how much are foster parents paid uk;1;1;90;1.29;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;11;0.06;0.52;15.00;1;0.34,0.34,0.28,0.28,0.34,0.65,0.34,0.15,0.15,0.21,0.21,0.15
foster care near me;2;2;320;8.34;https://www.nationalfosteringgroup.co.uk/find-our-agencies/;11;0.06;0.60;33.00;3;0.81,1.00,1.00,1.00,0.81,0.81,0.66,0.43,0.43,0.54,0.54,0.43
nfa charms login;3;3;170;0.00;https://www.nationalfosteringgroup.co.uk/;11;0.06;0.01;8.00;3;0.05,0.05,0.04,0.07,0.05,0.05,0.07,0.05,0.03,0.03,0.02,0.01
fostering children uk;3;3;260;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;11;0.06;0.00;37.00;1;0.23,0.66,0.66,0.82,0.66,0.66,1.00,1.00,0.82,0.82,0.82,0.82
supervising social worker jobs near me;1;1;90;0.54;https://www.nationalfosteringgroup.co.uk/careers/work-for-us/social-work/supervising-social-worker/;11;0.06;0.11;11.00;3;0.78,0.64,0.35,0.78,0.64,0.64,0.50,0.78,0.50,0.78,0.64,0.78
what do foster carers get paid;2;2;170;1.41;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;11;0.06;0.60;16.00;1;0.65,0.65,0.53,0.43,0.43,1.00,0.43,0.53,0.28,0.34,0.43,0.34
independent fostering agencies;7;7;590;4.51;https://www.nationalfosteringgroup.co.uk/;11;0.06;0.71;19.00;0;1.00,1.00,0.81,0.81,0.81,0.81,0.81,0.29,0.36,0.54,0.12,0.12
childrens reward chart;8;8;590;0.24;https://www.nationalfosteringgroup.co.uk/news-and-blog/how-to-use-a-rewards-chart-successfully/;11;0.06;1.00;34.00;1;0.04,0.03,0.03,1.00,0.03,0.07,0.02,0.05,0.05,0.05,0.08,0.03
foster care classes;3;3;260;3.25;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/training/;11;0.06;0.36;21.00;1;0.29,0.15,0.23,1.00,0.66,0.54,0.44,0.44,0.23,0.23,0.15,0.15
fostering allowance taxable;3;3;260;2.08;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/tax-and-foster-care/;11;0.06;0.20;7.00;1;0.66,0.82,1.00,0.82,1.00,0.82,1.00,0.35,0.43,0.35,0.35,0.35
difference between foster parent and adoption;5;5;390;0.56;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/should-i-foster-or-adopt/;11;0.06;0.11;11.00;1;0.10,0.19,0.54,1.00,1.00,0.67,0.54,0.29,0.36,0.15,0.29,0.36
how much does it pay to be a foster parent;2;2;170;1.46;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;11;0.06;0.56;16.00;1;1.00,0.23,0.28,0.28,0.23,0.28,0.15,0.23,0.18,0.18,0.11,0.15
what are foster parents;2;2;170;2.40;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;11;0.06;0.19;24.00;1;0.52,1.00,1.00,0.80,1.00,1.00,0.66,0.80,0.52,0.66,0.52,0.80
how does foster care work;2;2;170;2.48;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;11;0.06;0.54;26.00;1;0.42,0.80,1.00,0.80,0.42,0.53,0.80,0.65,0.53,0.65,0.53,0.65
foster parent salary uk;2;2;170;1.83;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;11;0.06;0.68;27.00;1;0.81,0.81,0.81,0.43,0.43,0.43,0.53,0.43,0.53,0.34,0.34,0.53
foster vs adopt;7;7;480;0.86;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/should-i-foster-or-adopt/;11;0.06;0.12;15.00;0,1;0.29,0.36,0.44,0.54,1.00,1.00,0.81,0.44,0.29,0.36,0.23,0.29
foster parent pay;2;2;1000;1.83;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;10;0.06;0.57;25.00;1;0.68,0.68,0.16,0.84,0.68,0.52,0.46,0.37,0.37,0.68,0.13,0.37
fostering scotland;8;8;480;4.69;https://www.nationalfosteringgroup.co.uk/find-our-agencies/fostering-in-scotland/;10;0.06;0.71;22.00;1;0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.81,0.81,0.66,0.66
foster care agency;6;6;480;8.57;https://www.nationalfosteringgroup.co.uk/;10;0.06;0.23;47.00;0;0.12,0.54,0.44,0.44,0.44,0.81,0.81,1.00,0.54,0.36,0.12,0.54
how much do foster carers get paid uk;2;2;720;1.52;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;10;0.06;0.56;26.00;1;0.59,1.00,1.00,1.00,0.72,0.72,0.59,0.72,0.88,0.72,0.59,0.59
foster care jobs;4;4;390;3.76;https://www.nationalfosteringgroup.co.uk/careers/job-vacancies/;9;0.05;0.55;17.00;0;0.54,0.81,1.00,1.00,0.66,0.66,0.44,0.66,0.54,0.44,0.66,0.54
bridging payment;3;3;210;17.75;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/bridging-retainer-payments/;9;0.05;0.26;13.00;1;0.01,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03
fostering north west;1;1;210;12.97;https://www.nationalfosteringgroup.co.uk/fostering-solutions/north-west/;9;0.05;0.68;14.00;0;0.07,0.23,0.29,0.36,0.36,0.29,0.36,0.29,0.19,0.23,0.12,0.12
foster care uk pay;4;4;390;1.83;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;9;0.05;0.62;16.00;1;0.45,0.45,0.36,0.20,0.30,0.24,0.24,0.16,0.20,0.45,0.20,0.16
fostering payments;9;9;480;1.88;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;9;0.05;0.66;20.00;1;0.32,0.72,0.48,0.72,0.32,0.26,0.59,1.00,0.21,0.21,0.21,0.21
foster care money;1;1;110;1.72;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;9;0.05;0.58;17.00;1;0.66,0.66,0.80,0.80,0.33,0.33,0.42,0.33,0.33,0.33,0.33,0.33
foster care social worker jobs;4;4;260;0.92;https://www.nationalfosteringgroup.co.uk/careers/work-for-us/social-work/supervising-social-worker/;9;0.05;0.11;10.00;0;0.43,0.14,0.35,0.81,0.66,0.54,0.54,0.66,0.66,0.81,0.43,0.81
fostering criteria england;3;3;210;3.42;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/who-can-foster/;9;0.05;0.59;17.00;1;0.35,0.23,0.28,1.00,0.82,1.00,0.66,0.53,0.35,0.35,0.28,0.28
foster parent single;4;4;210;5.50;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/who-can-foster/can-you-be-a-single-foster-parent/;9;0.05;0.51;9.00;1;0.29,0.14,0.22,0.81,1.00,0.81,0.66,0.54,0.04,0.14,0.06,0.08
can i foster a child;3;3;210;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;9;0.05;0.00;22.00;1;0.23,0.53,0.66,0.66,0.53,0.43,1.00,0.66,0.43,0.43,0.43,0.53
how much do foster carers earn;4;4;260;1.61;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;9;0.05;0.54;18.00;1;0.44,0.54,0.44,0.54,0.44,0.44,0.35,0.44,0.66,0.44,0.44,0.35
foster care system;2;2;140;3.19;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;9;0.05;0.33;34.00;1;0.52,0.80,1.00,1.00,0.80,0.66,0.66,0.66,0.52,0.66,0.52,0.52
can you foster as a single parent;3;3;390;4.25;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/who-can-foster/can-you-be-a-single-foster-parent/;9;0.05;0.57;7.00;1;0.66,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.82,0.82,1.00,1.00
how to become a foster carer for babies;2;2;140;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/fostering-a-baby/;9;0.05;0.00;18.00;1;0.00,0.26,0.34,0.53,0.65,0.80,1.00,0.80,0.34,0.42,0.34,0.42
foster carer pay uk;3;3;210;1.72;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;9;0.05;0.56;22.00;1;0.26,0.80,1.00,0.80,0.80,0.80,0.80,0.80,0.65,0.65,0.65,0.65
can you foster as a single person;2;2;140;4.25;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/who-can-foster/can-you-be-a-single-foster-parent/;9;0.05;0.57;11.00;1;0.53,0.15,0.15,1.00,0.21,0.43,0.53,0.65,0.28,0.28,0.28,0.28
how much do you receive for fostering;2;2;140;1.68;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;9;0.05;0.66;15.00;1;0.28,0.28,0.28,0.35,0.35,0.28,0.18,0.23,0.23,0.11,0.15,0.15
how much do foster care parents get paid;2;2;140;1.31;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;9;0.05;0.56;18.00;1;0.01,0.06,0.06,0.20,0.08,0.08,0.10,0.06,0.13,0.10,0.06,0.06
what are foster parents not allowed to do uk;4;4;320;3.52;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/who-can-foster/what-can-disqualify-you-from-fostering-a-child/;9;0.05;0.11;13.00;1;0.43,1.00,1.00,1.00,0.54,0.66,0.66,0.66,0.43,0.43,0.22,0.22
fostering birmingham uk;4;4;260;7.94;https://www.nationalfosteringgroup.co.uk/find-our-agencies/fostering-in-birmingham/;9;0.05;0.29;23.00;0;0.81,1.00,0.22,0.66,0.66,0.35,0.08,0.35,1.00,0.81,0.43,0.54
foster a child uk;3;3;210;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;9;0.05;0.00;35.00;1;0.53,0.80,0.80,0.65,0.65,0.65,0.80,0.80,0.80,1.00,0.80,1.00
fostering;23;23;6600;6.09;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/short-term-fostering/;9;0.05;0.44;34.00;1;0.44,0.44,0.66,0.81,0.66,0.44,1.00,0.54,0.66,0.36,0.81,0.36
transfer fostering agency;2;2;210;0.00;https://www.nationalfosteringgroup.co.uk/transfer-to-us/;9;0.05;0.06;8.00;1;0.09,0.81,0.65,1.00,1.00,1.00,1.00,0.65,0.65,0.81,0.34,0.34
foster care meaning uk;2;2;140;1.38;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;9;0.05;0.17;27.00;1;0.42,0.66,1.00,1.00,0.66,0.66,0.66,0.66,0.66,0.66,0.52,0.52
parent and child foster parent;3;3;140;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/parent-and-child-fostering/;9;0.05;0.00;8.00;1;0.04,0.80,0.80,0.80,1.00,1.00,1.00,0.66,0.33,0.23,0.33,0.52
how to become foster parents;6;6;390;7.20;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/becoming-a-foster-carer/;9;0.05;0.63;28.00;1;0.19,0.66,0.66,0.81,0.66,0.44,0.66,0.44,1.00,0.36,0.36,0.44
fostering team manager jobs;2;2;110;1.03;https://www.nationalfosteringgroup.co.uk/careers/work-for-us/social-work/practice-manager/;9;0.05;0.06;8.00;0;1.00,0.52,0.52,0.52,0.52,0.52,0.52,0.66,0.42,0.52,0.66,0.52
fostering children;9;9;1300;4.74;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;9;0.05;0.62;32.00;1;0.19,0.19,0.19,0.19,0.13,0.28,0.36,0.15,0.15,0.15,0.13,0.13
foster carer requirements;3;3;210;3.74;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/who-can-foster/;9;0.05;0.54;20.00;1;0.43,0.81,0.65,0.81,0.81,1.00,1.00,0.81,0.65,0.43,0.43,0.53
foster to adopt payments uk;2;2;140;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;9;0.05;0.17;22.00;1;0.23,0.29,0.29,0.19,0.10,0.15,0.12,0.10,0.04,0.04,0.07,0.05
fostering in blackpool;3;3;140;10.11;https://www.nationalfosteringgroup.co.uk/find-our-agencies/fostering-in-blackpool/;9;0.05;0.04;8.00;1;0.14,0.66,0.66,0.80,0.80,1.00,1.00,0.80,0.66,0.80,0.52,0.66
can i foster as a single person;2;2;140;3.13;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/who-can-foster/can-you-be-a-single-foster-parent/;9;0.05;0.52;11.00;1;0.34,0.21,0.21,1.00,1.00,1.00,0.53,0.53,0.34,0.21,0.21,0.15
foster family pay;3;3;210;1.83;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;9;0.05;0.57;18.00;1;0.00,0.08,0.10,0.10,0.20,0.20,0.20,0.08,0.08,0.06,0.45,0.10
private fostering agencies in north west;1;1;140;0.00;https://www.nationalfosteringgroup.co.uk/fostering-solutions/north-west/;9;0.05;0.00;16.00;0;0.03,0.42,0.53,0.53,0.65,1.00,1.00,0.80,0.42,0.34,0.34,0.26
best fostering agency uk;1;1;260;9.85;https://www.nationalfosteringgroup.co.uk/;9;0.05;0.82;34.00;1;0.35,0.54,0.81,0.66,0.66,0.66,0.81,1.00,0.43,0.43,0.22,0.54
weekend fostering;2;2;140;3.92;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/stayover-care/;9;0.05;0.64;9.00;1;0.15,0.23,0.18,0.23,0.28,0.28,0.44,0.28,0.18,0.18,0.11,0.11
foster care salary uk;3;3;210;1.72;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;9;0.05;0.56;22.00;1;0.35,0.28,0.28,0.66,0.35,0.35,0.66,0.28,0.28,0.54,0.23,0.35
foster agency;7;7;480;7.89;https://www.nationalfosteringgroup.co.uk/;9;0.05;0.48;45.00;0;0.44,0.66,0.66,1.00,0.66,0.81,0.66,0.44,0.36,0.66,0.44,0.54
types of foster homes;3;3;210;2.12;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/;9;0.05;0.36;9.00;1;0.29,0.14,0.22,0.66,1.00,0.66,0.54,0.54,0.22,0.29,0.14,0.14
fostering burnley;3;3;210;6.59;https://www.nationalfosteringgroup.co.uk/find-our-agencies/fostering-in-burnley/;9;0.05;0.03;5.00;1;0.02,0.15,0.29,0.23,0.29,0.36,0.29,0.29,0.29,0.23,0.29,0.29
fostering unaccompanied minors;2;2;110;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/fostering-unaccompanied-children/;9;0.05;0.29;8.00;1;0.00,0.04,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.02
fostering nottingham;5;5;260;9.94;https://www.nationalfosteringgroup.co.uk/find-our-agencies/fostering-in-nottingham/;9;0.05;0.63;23.00;1;0.34,1.00,1.00,1.00,1.00,1.00,0.81,0.65,0.65,0.65,0.65,0.43
can i foster;5;5;320;5.97;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/can-i-foster-quiz/;9;0.05;0.64;22.00;1;0.18,0.81,1.00,0.81,0.66,0.81,0.81,0.66,0.54,0.44,0.18,0.18
how much do you get paid for fostering uk;2;2;140;1.28;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;9;0.05;0.42;16.00;1;0.42,0.26,0.80,1.00,0.80,0.53,0.65,0.80,0.42,0.34,0.42,0.34
foster care birmingham uk;3;3;260;7.94;https://www.nationalfosteringgroup.co.uk/find-our-agencies/fostering-in-birmingham/;9;0.05;0.29;39.00;0;0.05,0.28,0.35,0.23,0.23,0.54,0.35,0.35,0.81,0.81,0.66,0.54
foster care requirements;7;7;390;3.42;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/who-can-foster/;9;0.05;0.66;18.00;1;0.81,0.81,0.81,0.66,0.81,1.00,0.81,0.44,0.54,0.54,0.54,0.54
foster family uk;2;2;140;5.18;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;9;0.05;0.64;30.00;1;0.15,0.19,0.12,0.12,0.12,0.12,0.09,0.15,0.15,0.12,0.19,0.54
fostering in the uk;5;5;390;5.18;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;8;0.05;0.64;41.00;2;0.55,0.24,0.30,0.20,0.20,0.24,0.24,0.20,0.20,0.16,0.16,0.24
fostering payments uk;8;8;390;1.83;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;8;0.05;0.62;17.00;1;0.44,0.54,0.67,0.36,0.44,0.44,0.36,0.36,0.44,0.36,0.23,0.29
foster homes uk;4;4;390;5.19;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;8;0.05;0.68;38.00;1;0.20,0.20,0.30,0.16,0.30,0.16,0.13,0.03,0.45,0.30,0.04,0.45
foster care;19;32;5400;5.67;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/long-term-fostering/;8;0.05;0.61;33.00;1;0.36,0.24,0.66,0.29,0.29,0.24,1.00,0.29,0.24,0.24,0.24,0.36
foster care;20;32;5400;5.67;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/long-term-fostering/;8;0.05;0.61;33.00;1;0.36,0.24,0.66,0.29,0.29,0.24,1.00,0.29,0.24,0.24,0.24,0.36
foster track;4;4;170;0.00;https://www.nationalfosteringgroup.co.uk/fast-track-application-process/;7;0.04;0.03;16.00;1;0.35,0.54,0.43,0.54,0.43,0.35,0.35,0.35,0.43,0.35,0.29,0.29
foster home jobs;2;2;210;3.76;https://www.nationalfosteringgroup.co.uk/careers/job-vacancies/;7;0.04;0.55;16.00;0;0.81,0.21,0.53,0.15,0.15,0.81,0.81,1.00,0.81,1.00,0.65,1.00
