Referring Domain / URL,Target URL,Anchor Text,Action Recommendation,Primary Risk Factor,Confidence Score,Backlinks,Linking Pages,Unique Anchors,Top Anchor Share,Remediation Priority,Follow (Equity) Links,Exact-Match Anchor %,Branded/URL Anchor %,Median Page AScore,Max Page AScore,Avg External Links,Nofollow %,Sponsored,Topically Relevant,Distinct Targets,Lost %,First Seen,Last Seen,Rationale
presale-vancouver.ca,https://www.performancelab.com/blogs/nutrition/taking-pre-workout-with-a-testosterone-booster?srsltid=AfmBOorJ-W3OdhX5c83g1BefimSTRNMs0_-zeHWKmvMBn1Tn-qDpgwVK (+3 more),TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR WWW.PERFORMANCELAB.COM (+1 more),DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,4,4,2,75%,P3 - Nofollow only (no equity passed),0,0%,75%,0,0,3004,100%,no,no,4,0%,1764266020,1787343036,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
estate-blog.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1,read more (+3 more),DISAVOW,Throwaway Auto-Generated Host,High,4,4,4,25%,"P2 - Follow links, low volume",4,0%,0%,0,0,4,0%,no,yes,1,0%,1764412197,1786674510,Randomly generated account subdomain — disposable link-vendor infrastructure.
violationfunding.com,https://www.performancelab.com/blogs/nutrition/inositol-for-men?srsltid=AfmBOoq2MZr0V3D343YVq9XD2Zu1NP1czTLKuLv5ng5UnuqmgFTGje_x (+3 more),TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR WWW.PERFORMANCELAB.COM (+1 more),DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,4,4,2,75%,"P2 - Follow links, low volume",4,0%,75%,0,0,3001,0%,no,no,4,0%,1764481894,1786465940,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
fusioncreations.co.uk,https://www.performancelab.com/blogs/nutrition/inositol-for-men?srsltid=AfmBOoo0JXySU0kKx7wt1yWUn9LPxzBJNdN5CtiVUtVDmDaDF4BC8kxW (+2 more),TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR WWW.PERFORMANCELAB.COM,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,4,4,1,100%,P3 - Nofollow only (no equity passed),0,0%,100%,0,0,3003,100%,no,no,3,0%,1764535238,1783081385,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
icylv5.azurewebsites.net,https://www.performancelab.com/blogs/nutrition/inositol-for-men?srsltid=AfmBOoq2MZr0V3D343YVq9XD2Zu1NP1czTLKuLv5ng5UnuqmgFTGje_x (+3 more),TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR WWW.PERFORMANCELAB.COM (+1 more),DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,4,4,2,75%,P3 - Nofollow only (no equity passed),0,0%,75%,0,0,3018,100%,no,no,4,0%,1765908127,1785790687,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
lakefrontmarine.ca,https://www.performancelab.com/blogs/nutrition/inositol-for-men?srsltid=AfmBOoo0JXySU0kKx7wt1yWUn9LPxzBJNdN5CtiVUtVDmDaDF4BC8kxW (+3 more),TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR WWW.PERFORMANCELAB.COM (+1 more),DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,4,4,2,75%,P3 - Nofollow only (no equity passed),0,0%,75%,2.5,3,3004,100%,no,no,4,0%,1766167907,1787170062,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
stablegeeksstaffing.com,https://www.performancelab.com/blogs/nutrition/taking-pre-workout-with-a-testosterone-booster?srsltid=AfmBOorJ-W3OdhX5c83g1BefimSTRNMs0_-zeHWKmvMBn1Tn-qDpgwVK (+3 more),TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR WWW.PERFORMANCELAB.COM (+1 more),DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,4,4,2,75%,P3 - Nofollow only (no equity passed),0,0%,75%,0,0,3001,100%,no,no,4,0%,1767110674,1786914152,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
websitesea.com,https://www.performancelab.com/blogs/wellness (+3 more),testolabpro.com (+3 more),DISAVOW,Link Farm / Outbound-Link Bloat,High,4,4,4,25%,"P2 - Follow links, low volume",4,0%,25%,0,0,9001,0%,no,no,4,0%,1767170076,1777209533,Average 9001 external links per source page across machine-generated URLs (100% of linking pages).
allwebsitesdirectory.com,https://performancelab.com/ (+3 more),performancelab.com (+3 more),DISAVOW,Link Farm / Outbound-Link Bloat,High,4,4,4,25%,"P2 - Follow links, low volume",4,0%,25%,0,0,10158,0%,no,no,4,0%,1767857304,1787045471,Average 10158 external links per source page across machine-generated URLs (100% of linking pages).
samikshaharmony.com,https://www.performancelab.com/blogs/nutrition/taking-pre-workout-with-a-testosterone-booster?srsltid=AfmBOorLVvf0Q3UI19jfLkL_LV32fkA4JAzEL6W8owZqxTnj3C0t0CQa (+3 more),TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR WWW.PERFORMANCELAB.COM (+1 more),DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,4,4,2,75%,P3 - Nofollow only (no equity passed),0,0%,75%,0,0,3010,100%,no,no,4,0%,1768764774,1784562647,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
blog5star.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),check here (+2 more),DISAVOW,Throwaway Auto-Generated Host,High,4,4,3,50%,"P2 - Follow links, low volume",4,0%,0%,0,1,4,0%,no,yes,2,0%,1769083264,1786821877,Randomly generated account subdomain — disposable link-vendor infrastructure.
911auto.it,https://www.performancelab.com/blogs/nutrition/inositol-for-men?srsltid=AfmBOoo0JXySU0kKx7wt1yWUn9LPxzBJNdN5CtiVUtVDmDaDF4BC8kxW (+3 more),TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR WWW.PERFORMANCELAB.COM (+1 more),DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,4,4,2,75%,P3 - Nofollow only (no equity passed),0,0%,75%,1,1,3007,100%,no,no,4,0%,1769166453,1787531057,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
blogofchange.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1,get more info (+3 more),DISAVOW,Throwaway Auto-Generated Host,High,4,4,4,25%,"P2 - Follow links, low volume",4,0%,0%,0,1,4,0%,no,yes,1,0%,1770520503,1787486452,Randomly generated account subdomain — disposable link-vendor infrastructure.
webworthchecker.cv,https://www.performancelab.com/blogs/wellness (+2 more),testolabpro.com (+2 more),DISAVOW,Link Farm / Outbound-Link Bloat,High,4,3,3,50%,"P2 - Follow links, low volume",4,0%,50%,0,0,10157,0%,no,no,3,0%,1770531266,1787524379,Average 10157 external links per source page across machine-generated URLs (100% of linking pages).
linksnatcher.art,https://www.performancelab.com/ (+1 more),dtcx.com (+1 more),DISAVOW,Link Farm / Outbound-Link Bloat,High,4,4,2,75%,"P2 - Follow links, low volume",4,0%,0%,0,0,10158,0%,no,no,2,0%,1770741232,1786655080,Average 10158 external links per source page across machine-generated URLs (100% of linking pages).
homefinance.co.in,https://www.performancelab.com/ (+2 more),performancelab.com (+3 more),DISAVOW,Link Farm / Outbound-Link Bloat,High,4,3,4,25%,"P2 - Follow links, low volume",4,0%,50%,0,0,10158,0%,no,no,3,0%,1770853261,1787406730,Average 10158 external links per source page across machine-generated URLs (100% of linking pages).
verybigblog.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),read more (+3 more),DISAVOW,Throwaway Auto-Generated Host,High,4,4,4,25%,"P2 - Follow links, low volume",4,0%,0%,0,1,4,0%,no,yes,2,0%,1771469143,1787472424,Randomly generated account subdomain — disposable link-vendor infrastructure.
analyticshaven.top,https://www.performancelab.com/blogs/wellness (+2 more),testolabpro.com (+2 more),DISAVOW,Link Farm / Outbound-Link Bloat,High,4,4,3,50%,P3 - Nofollow only (no equity passed),0,0%,25%,0,0,3500,100%,no,no,3,0%,1771759883,1784611420,Average 3500 external links per source page across machine-generated URLs (100% of linking pages).
lukang-audio.com,https://www.performancelab.com/blogs/nutrition/taking-pre-workout-with-a-testosterone-booster?srsltid=AfmBOoo3ve1-ArFrDWwqHceT5BCyoLb82TUB2TpyHTGw1gAHgjXVbfau (+3 more),🍪 TELEGRAM @SALESOVEN | ACCESS TO HACKED SITES FOR SEO | HTTPS://T.ME/SALESOVEN 🔥,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,4,4,1,100%,P3 - Nofollow only (no equity passed),0,0%,0%,0,1,3002,100%,no,no,4,0%,1771842665,1776656555,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
websitescrawl.com,https://www.performancelab.com/collections/nutropic (+3 more),nutropic.com (+3 more),DISAVOW,Link Farm / Outbound-Link Bloat,High,4,4,4,25%,P3 - Nofollow only (no equity passed),0,0%,25%,0,0,1000,100%,no,no,4,0%,1771858247,1779517465,Average 1000 external links per source page across 4 machine-generated linking page(s).
hormigoneracavalsa.com.ar,https://www.performancelab.com/blogs/wellness/do-testosterone-boosters-work?srsltid=AfmBOoqckQrC-yzsnFSlde5SVksy-xPd7Dn6YJEFJ83DhhrwqFV6FnL4 (+3 more),🍪 TELEGRAM @SALESOVEN | ACCESS TO HACKED SITES FOR SEO | HTTPS://T.ME/SALESOVEN 🔥,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,4,3,1,100%,P3 - Nofollow only (no equity passed),0,0%,0%,0,0,3004,100%,no,no,4,0%,1772294546,1780539033,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
blog5.net,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),energy supplements (+3 more),DISAVOW,Throwaway Auto-Generated Host,High,4,4,4,25%,"P2 - Follow links, low volume",4,0%,0%,0,0,2,0%,no,yes,2,0%,1772522821,1786671032,Randomly generated account subdomain — disposable link-vendor infrastructure.
joyrney.com,https://www.performancelab.com/blogs/nutrition/vitamin-a-for-men (+2 more),🍪 TELEGRAM @SALESOVEN | ACCESS TO HACKED SITES FOR SEO | HTTPS://T.ME/SALESOVEN 🔥,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,4,4,1,100%,P3 - Nofollow only (no equity passed),0,0%,0%,0,0,16187,100%,no,no,3,0%,1773235665,1777937670,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
screenshots.wiki,https://performancelab.com/ (+2 more),nutropic.com (+1 more),DISAVOW,Link Farm / Outbound-Link Bloat,High,4,3,2,50%,P3 - Nofollow only (no equity passed),0,0%,50%,0,0,3500,100%,no,no,3,0%,,,Average 3500 external links per source page across machine-generated URLs (100% of linking pages).
bligblogging.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1,check here (+2 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,3,3,3,33%,"P2 - Follow links, low volume",3,0%,0%,15,20,4,0%,no,yes,1,0%,2026-08-14,2026-08-22,Free-blog-host domain used exclusively by link vendors; 3 link(s) on throwaway auto-generated accounts.
global-ranks.pages.dev,https://performancelab.com/ (+2 more),performancelab.com (+2 more),DISAVOW,Free-Host Blog Serving a Link Dump,High,3,3,3,33%,P3 - Nofollow only (no equity passed),0,0%,67%,0,0,10003,100%,no,no,3,0%,1742619675,1784146925,"Averages 10,003 outbound links per page on a free blog host — a scraped or compromised template, not a publisher."
algolinkers.com,https://www.performancelab.com/collections/all-products (+2 more),nutropic.com (+1 more),DISAVOW,Link Farm / Outbound-Link Bloat,High,3,2,2,67%,P3 - Nofollow only (no equity passed),0,0%,33%,0,0,1000,100%,no,no,3,0%,1749838346,1783595623,Average 1000 external links per source page across 2 machine-generated linking page(s).
mybuzzblog.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1,daily multivitamin (+1 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,3,3,2,67%,"P2 - Follow links, low volume",3,0%,0%,0,0,4,0%,no,yes,1,0%,1762880812,1785594808,Free-blog-host domain used exclusively by link vendors; 3 link(s) on throwaway auto-generated accounts.
blogacep.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1,website (+2 more),DISAVOW,Throwaway Auto-Generated Host,High,3,3,3,33%,"P2 - Follow links, low volume",3,0%,0%,0,0,4,0%,no,yes,1,0%,1764502241,1786012893,Randomly generated account subdomain — disposable link-vendor infrastructure.
technewsmail.com,https://www.performancelab.com/blogs/nutrition/taking-pre-workout-with-a-testosterone-booster?srsltid=AfmBOorJ-W3OdhX5c83g1BefimSTRNMs0_-zeHWKmvMBn1Tn-qDpgwVK (+2 more),TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR WWW.PERFORMANCELAB.COM (+1 more),DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,3,3,2,67%,P3 - Nofollow only (no equity passed),0,0%,67%,0,0,3001,100%,no,no,3,0%,1764502865,1777851039,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
bloggerbags.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1,here (+2 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,3,3,3,33%,"P2 - Follow links, low volume",3,0%,0%,0,0,4,0%,no,yes,1,0%,1764527713,1787513547,Free-blog-host domain used exclusively by link vendors; 3 link(s) on throwaway auto-generated accounts.
docarnettefoundation.org,https://www.performancelab.com/blogs/nutrition/taking-pre-workout-with-a-testosterone-booster?srsltid=AfmBOorJ-W3OdhX5c83g1BefimSTRNMs0_-zeHWKmvMBn1Tn-qDpgwVK (+2 more),TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR WWW.PERFORMANCELAB.COM,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,3,3,1,100%,P3 - Nofollow only (no equity passed),0,0%,100%,0,0,3004,100%,no,no,3,0%,1764620679,1773736625,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
qualitypoint.com.do,https://www.performancelab.com/blogs/nutrition/inositol-for-men?srsltid=AfmBOoo0JXySU0kKx7wt1yWUn9LPxzBJNdN5CtiVUtVDmDaDF4BC8kxW (+2 more),TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR WWW.PERFORMANCELAB.COM,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,3,3,1,100%,P3 - Nofollow only (no equity passed),0,0%,100%,0,0,3009,100%,no,no,3,0%,1764843899,1780240626,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
proplayersports.com,https://www.performancelab.com/blogs/nutrition/inositol-for-men?srsltid=AfmBOoo0JXySU0kKx7wt1yWUn9LPxzBJNdN5CtiVUtVDmDaDF4BC8kxW (+2 more),TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR WWW.PERFORMANCELAB.COM,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,3,3,1,100%,P3 - Nofollow only (no equity passed),0,0%,100%,0,0,3031,100%,no,yes,3,33%,1764923249,1785119820,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
vilagrad.com,https://www.performancelab.com/blogs/nutrition/inositol-for-men?srsltid=AfmBOoq2MZr0V3D343YVq9XD2Zu1NP1czTLKuLv5ng5UnuqmgFTGje_x (+2 more),TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR WWW.PERFORMANCELAB.COM,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,3,3,1,100%,P3 - Nofollow only (no equity passed),0,0%,100%,1,2,3005,100%,no,no,3,0%,1765194679,1783700054,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
smartparentresources.org,https://www.performancelab.com/blogs/nutrition/inositol-for-men?srsltid=AfmBOoq2MZr0V3D343YVq9XD2Zu1NP1czTLKuLv5ng5UnuqmgFTGje_x (+2 more),TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR WWW.PERFORMANCELAB.COM (+1 more),DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,3,3,2,67%,P3 - Nofollow only (no equity passed),0,0%,67%,0,0,3005,100%,no,no,3,0%,1765203349,1771142469,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
modernatucasa.com,https://www.performancelab.com/blogs/nutrition/taking-pre-workout-with-a-testosterone-booster?srsltid=AfmBOorJ-W3OdhX5c83g1BefimSTRNMs0_-zeHWKmvMBn1Tn-qDpgwVK (+2 more),TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR WWW.PERFORMANCELAB.COM,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,3,3,1,100%,P3 - Nofollow only (no equity passed),0,0%,100%,0,0,3001,100%,no,no,3,0%,1767258205,1783704336,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
equipetrol.com.ec,https://www.performancelab.com/blogs/fitness/female-muscle-growth?srsltid=AfmBOoq4GgQwMzAoqeJOHasb6zEizDTMSasQjEDAp48SkoqYZmHkPQYE,"@SEO_CARTEL IN TELEGRAM - SEO BACKLINKS, BULK LINK POSTING, BOOST SEO RANKING",DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,3,3,1,100%,P3 - Nofollow only (no equity passed),0,0%,0%,0,0,27540,100%,no,no,1,0%,1768280721,1783182019,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
quero.party,https://performancelab.com/ (+2 more),performancelab.com (+2 more),DISAVOW,Link Farm / Outbound-Link Bloat,High,3,3,3,33%,P3 - Nofollow only (no equity passed),0,0%,33%,0,0,3500,100%,no,no,3,0%,1769742867,1783902857,Average 3500 external links per source page across machine-generated URLs (100% of linking pages).
sk-its.ru,https://mis.performancelab.com/assets/images/ieh0de/index.php?topic1304 (+2 more),upjkh (+2 more),DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,3,3,3,33%,"P2 - Follow links, low volume",3,0%,0%,0,0,10,0%,no,no,3,0%,1770151478,1770180196,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
corrector.in,https://www.performancelab.com/blogs/wellness (+1 more),testolabpro.com (+1 more),DISAVOW,Link Farm / Outbound-Link Bloat,High,3,3,2,67%,"P2 - Follow links, low volume",3,0%,0%,0,0,10158,0%,no,no,2,0%,1770417104,1773428490,Average 10158 external links per source page across machine-generated URLs (100% of linking pages).
carplz.com,https://www.performancelab.com/ (+1 more),performancelabs.com (+2 more),DISAVOW,Link Farm / Outbound-Link Bloat,High,3,2,3,33%,"P2 - Follow links, low volume",3,0%,67%,0,0,10158,0%,no,no,2,0%,1770781968,1784274614,Average 10158 external links per source page across machine-generated URLs (100% of linking pages).
youtoo.in,https://www.performancelab.com/ (+1 more),performancelab.com (+2 more),DISAVOW,Link Farm / Outbound-Link Bloat,High,3,2,3,33%,"P2 - Follow links, low volume",3,0%,67%,0,0,10158,0%,no,no,2,0%,1770924073,1784975158,Average 10158 external links per source page across machine-generated URLs (100% of linking pages).
procycling.org,https://www.performancelab.com/ (+1 more),dtcx.com (+2 more),DISAVOW,Link Farm / Outbound-Link Bloat,High,3,2,3,33%,"P2 - Follow links, low volume",3,0%,67%,0,0,10158,0%,no,yes,2,0%,1771328517,1785844397,Average 10158 external links per source page across machine-generated URLs (100% of linking pages).
bye.fyi,https://www.performancelab.com/collections/nutropic (+2 more),nutropic.com (+2 more),DISAVOW,Link Farm / Outbound-Link Bloat,High,3,3,3,33%,P3 - Nofollow only (no equity passed),0,0%,33%,0,0,3500,100%,no,no,3,0%,1771903465,1784142227,Average 3500 external links per source page across machine-generated URLs (100% of linking pages).
tyre.pro,https://www.performancelab.com/blogs/wellness (+2 more),testolabpro.com (+2 more),DISAVOW,Link Farm / Outbound-Link Bloat,High,3,2,3,33%,"P2 - Follow links, low volume",3,0%,67%,0,0,10157,0%,no,no,3,0%,1771918059,1786901677,Average 10157 external links per source page across machine-generated URLs (100% of linking pages).
automaned.com,https://www.performancelab.com/blogs/wellness/are-testosterone-boosters-safe?srsltid=AfmBOoqbIxc_ipqUteJPFtDqMsxQF0Ksgr9Y08kS18EGmHEQ8O8SQwJv (+2 more),🍪 TELEGRAM @SALESOVEN | ACCESS TO HACKED SITES FOR SEO | HTTPS://T.ME/SALESOVEN 🔥,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,3,3,1,100%,P3 - Nofollow only (no equity passed),0,0%,0%,0,0,3006,100%,no,no,3,0%,1771926548,1779218091,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
bnksp.org,https://www.performancelab.com/blogs/nutrition/vitamin-a-for-men (+2 more),🍪 TELEGRAM @SALESOVEN | ACCESS TO HACKED SITES FOR SEO | HTTPS://T.ME/SALESOVEN 🔥,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,3,2,1,100%,P3 - Nofollow only (no equity passed),0,0%,0%,0,0,24164,100%,no,no,3,0%,1772030287,1772131341,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
imagingtrade.com.np,https://www.performancelab.com/blogs/wellness/do-testosterone-boosters-work?srsltid=AfmBOoqckQrC-yzsnFSlde5SVksy-xPd7Dn6YJEFJ83DhhrwqFV6FnL4 (+2 more),🍪 TELEGRAM @SALESOVEN | ACCESS TO HACKED SITES FOR SEO | HTTPS://T.ME/SALESOVEN 🔥,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,3,2,1,100%,P3 - Nofollow only (no equity passed),0,0%,0%,0,0,3009,100%,no,yes,3,0%,1772146267,1772152744,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
vivaesthetique.com,https://www.performancelab.com/blogs/nutrition/taking-pre-workout-with-a-testosterone-booster?srsltid=AfmBOoo3ve1-ArFrDWwqHceT5BCyoLb82TUB2TpyHTGw1gAHgjXVbfau (+2 more),🍪 TELEGRAM @SALESOVEN | ACCESS TO HACKED SITES FOR SEO | HTTPS://T.ME/SALESOVEN 🔥,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,3,3,1,100%,P3 - Nofollow only (no equity passed),0,0%,0%,0,0,3006,100%,no,no,3,0%,1772658923,1786845480,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
nanochem.com.vn,https://www.performancelab.com/blogs/wellness/do-testosterone-boosters-work?srsltid=AfmBOoqckQrC-yzsnFSlde5SVksy-xPd7Dn6YJEFJ83DhhrwqFV6FnL4 (+2 more),🍪 TELEGRAM @SALESOVEN | ACCESS TO HACKED SITES FOR SEO | HTTPS://T.ME/SALESOVEN 🔥,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,3,2,1,100%,P3 - Nofollow only (no equity passed),0,0%,0%,0,0,3002,100%,no,no,3,0%,1772711565,1781874523,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
targetblogs.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),check here (+1 more),DISAVOW,Throwaway Auto-Generated Host,High,3,3,2,67%,"P2 - Follow links, low volume",3,0%,0%,0,0,4,0%,no,yes,2,0%,1773225331,1787532048,Randomly generated account subdomain — disposable link-vendor infrastructure.
olimposs.com,https://www.performancelab.com/blogs/fitness/female-muscle-growth?srsltid=AfmBOoqeIsAvs0V9Ft9AmUddPHop-zVnDSFczBicd569bVlP5l-6Mr1Z (+2 more),🍪 TELEGRAM @SALESOVEN | ACCESS TO HACKED SITES FOR SEO | HTTPS://T.ME/SALESOVEN 🔥,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,3,3,1,100%,P3 - Nofollow only (no equity passed),0,0%,0%,0,0,3005,100%,no,no,3,0%,1773664627,1776859313,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
a1housingservicesltd.co.uk,https://www.performancelab.com/blogs/nutrition/taking-pre-workout-with-a-testosterone-booster?srsltid=AfmBOorZwL-I5qIa8ZE9Jz3ETKSjLmBWagQF5F54ApTMqXVSs2oh1scC,TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR WWW.PERFORMANCELAB.COM,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,3,3,1,100%,P3 - Nofollow only (no equity passed),0,0%,100%,0,0,27808,100%,no,no,1,0%,,,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
pkbtembnm.blogspot.com,https://www.performancelab.com/collections/nutropic (+1 more),nutropic.com,DISAVOW,Free-Host Blog Serving a Link Dump,High,2,1,1,100%,P3 - Nofollow only (no equity passed),0,0%,0%,43,43,14509,100%,no,no,2,0%,2026-01-20,2026-03-13,"Averages 14,509 outbound links per page on a free blog host — a scraped or compromised template, not a publisher."
worldofgamingk.blogspot.com,https://www.performancelab.com/collections/nutropic (+1 more),nutropic.com,DISAVOW,Free-Host Blog Serving a Link Dump,High,2,1,1,100%,P3 - Nofollow only (no equity passed),0,0%,0%,16,16,13511,100%,no,no,2,0%,2026-03-04,2026-08-21,"Averages 13,511 outbound links per page on a free blog host — a scraped or compromised template, not a publisher."
webbys.pages.dev,https://performancelab.com/ (+1 more),performancelab.com (+1 more),DISAVOW,Free-Host Blog Serving a Link Dump,High,2,2,2,50%,P3 - Nofollow only (no equity passed),0,0%,100%,0,0,10002,100%,no,no,2,0%,1738747073,1787120230,"Averages 10,002 outbound links per page on a free blog host — a scraped or compromised template, not a publisher."
global-rank.pages.dev,https://performancelab.com/,performancelab.com,DISAVOW,Free-Host Blog Serving a Link Dump,High,2,2,1,100%,P3 - Nofollow only (no equity passed),0,0%,100%,0,0,9986,100%,no,no,1,0%,1743010002,1778963451,"Averages 9,986 outbound links per page on a free blog host — a scraped or compromised template, not a publisher."
toparticlesdirectory.com,https://performancelab.com/,performancelab,DISAVOW,Directory / Link-Scheme Spam Footprint,High,2,2,1,100%,"P2 - Follow links, low volume",2,0%,100%,0,0,1516,0%,no,no,1,0%,1745104709,1787624790,Domain name matches a link-scheme or paid-directory pattern.
lifesblog.com,http://performancelab.com/,performancelab.com,DISAVOW,Link Farm / Bare-Domain Listing,High,2,2,1,100%,P3 - Nofollow only (no equity passed),0,0%,100%,0,0,1000,100%,no,no,1,0%,1746656589,1786102674,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
phinin.com,http://performancelab.com/,performancelab.com,DISAVOW,Link Farm / Bare-Domain Listing,High,2,2,1,100%,P3 - Nofollow only (no equity passed),0,0%,100%,0,0,1000,100%,no,no,1,0%,1748242380,1786072940,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
flamingos.pages.dev,https://www.performancelab.com/ (+1 more),dtcx.com (+1 more),DISAVOW,Free-Host Blog Serving a Link Dump,High,2,2,2,50%,P3 - Nofollow only (no equity passed),0,0%,50%,0,0,10003,100%,no,no,2,0%,1750636574,1786799030,"Averages 10,003 outbound links per page on a free blog host — a scraped or compromised template, not a publisher."
sisgroup.lk,https://www.performancelab.com/ (+1 more),OUR TELEGRAM CHANEL https://t.me/s/quarterlinks25,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,2,2,1,100%,P3 - Nofollow only (no equity passed),0,0%,0%,0,0,506,100%,no,no,2,0%,1752389893,1774059262,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
