Referring Domain,Action Recommendation,Primary Risk Factor,Confidence Score,Evidence Level,Remediation Priority,Backlinks (true),Backlinks (in sample),Follow (Equity) Links,Domain ascore,IP Address,C-Block,Hosting,Country,Target URL,Anchor Text,Unique Anchors,Exact-Match Anchor %,Branded/URL Anchor %,Avg External Links,Nofollow %,Topically Relevant,First seen,Last seen,Disavow Entry,Rationale
allreviews.in,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,6,184.168.109.253,184.168.109.0/24,GoDaddy shared hosting,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2025-02-07,2026-08-05,domain:allreviews.in,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
allwebsites.net,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,184.168.116.137,184.168.116.0/24,GoDaddy shared hosting,sg,http://performancelab.com/,performancelab.com,1,0%,100%,999,100%,no,2025-11-01,2026-08-13,domain:allwebsites.net,"Average 999 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
alpana.co.in,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,8,184.168.116.137,184.168.116.0/24,GoDaddy shared hosting,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2026-01-14,2026-07-24,domain:alpana.co.in,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
anjana.co.in,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,12,68.178.236.247,68.178.236.0/24,,us,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2025-08-26,2026-04-16,domain:anjana.co.in,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
arabicwebdirectory.com,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,184.168.115.25,184.168.115.0/24,GoDaddy shared hosting,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2025-05-28,2026-08-15,domain:arabicwebdirectory.com,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
arteza.fr,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,164.132.235.17,164.132.235.0/24,,fr,https://www.performancelab.com/blogs/wellness,JOIN OUR TELEGRAM https://t.me/s/darksidelinks,1,0%,0%,3002,100%,no,2026-03-18,2026-03-26,domain:arteza.fr,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
avareno.ca,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,82.197.67.22,82.197.67.0/24,,us,https://www.performancelab.com/blogs/nutrition/vitamin-a-for-men,🍪 TELEGRAM @SALESOVEN | ACCESS TO HACKED SITES FOR SEO | HTTPS://T.ME/SALESOVEN 🔥,1,0%,0%,15002,100%,no,2026-02-26,2026-05-24,domain:avareno.ca,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
backlink.asia,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,3,184.168.109.253,184.168.109.0/24,GoDaddy shared hosting,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2025-05-29,2026-08-23,domain:backlink.asia,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
backlink.business,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,4,184.168.109.253,184.168.109.0/24,GoDaddy shared hosting,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2025-02-10,2026-08-13,domain:backlink.business,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
backlink.solutions,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,3,184.168.109.253,184.168.109.0/24,GoDaddy shared hosting,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2025-02-19,2026-08-21,domain:backlink.solutions,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
backlink.work,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,184.168.109.253,184.168.109.0/24,GoDaddy shared hosting,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2025-11-01,2026-08-19,domain:backlink.work,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
backlinks.click,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,3,184.168.109.253,184.168.109.0/24,GoDaddy shared hosting,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2025-10-11,2026-08-05,domain:backlinks.click,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
backlinks.cyou,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,3,118.139.183.102,118.139.183.0/24,,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2025-09-23,2026-06-10,domain:backlinks.cyou,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
backlinks.directory,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,184.168.109.253,184.168.109.0/24,GoDaddy shared hosting,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2025-11-07,2026-08-19,domain:backlinks.directory,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
backlinks.sbs,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,3,118.139.181.189,118.139.181.0/24,,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2026-01-02,2026-07-15,domain:backlinks.sbs,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
berlin-immobilien-verkaufen.de,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,6,81.88.34.171,81.88.34.0/24,,de,https://www.performancelab.com/blogs/wellness,JOIN OUR TELEGRAM https://t.me/s/darksidelinks,1,0%,0%,3006,100%,no,2026-06-08,2026-06-08,domain:berlin-immobilien-verkaufen.de,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
besafe.in,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,184.168.116.137,184.168.116.0/24,GoDaddy shared hosting,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2026-01-11,2026-08-16,domain:besafe.in,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
bestadultdirectory.com,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,3,184.168.114.4,184.168.114.0/24,,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2025-05-06,2026-06-13,domain:bestadultdirectory.com,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
bestarticleworld.com,DISAVOW,Shared Link-Template Footprint (Same Operator),High,Link-level (in 50k sample) + risk triage,-,1,1,1,5,104.21.55.170,104.21.55.0/24,Cloudflare (shared CDN),,https://performancelab.com/,performancelab,1,0%,100%,3134,0%,no,2025-06-12,2026-08-08,domain:bestarticleworld.com,"Links from the path '/exploring-conversational-ai-for-personalized-e-comm', served byte-identically by 40 other referring domains. One operator's script deployed across many hosts, not independent editorial placements."
bestdirectorysite.com,DISAVOW,Shared Link-Template Footprint (Same Operator),High,Link-level (in 50k sample) + risk triage,-,1,1,1,5,172.67.152.127,172.67.152.0/24,Cloudflare (shared CDN),,https://performancelab.com/,performancelab,1,0%,100%,2895,0%,no,2025-05-26,2026-08-08,domain:bestdirectorysite.com,"Links from the path '/understanding-analytics-measuring-digital-marketing', served byte-identically by 15 other referring domains. One operator's script deployed across many hosts, not independent editorial placements."
bilalarticles.com,DISAVOW,Shared Link-Template Footprint (Same Operator),High,Link-level (in 50k sample),-,1,1,1,5,159.198.75.134,159.198.75.0/24,,us,https://performancelab.com/,performancelab,1,0%,100%,3136,0%,no,2025-10-18,2026-06-01,domain:bilalarticles.com,"Links from the path '/exploring-conversational-ai-for-personalized-e-comm', served byte-identically by 40 other referring domains. One operator's script deployed across many hosts, not independent editorial placements."
blogdir.net,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,184.168.115.25,184.168.115.0/24,GoDaddy shared hosting,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2025-06-25,2026-07-08,domain:blogdir.net,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
blogspothub.com,DISAVOW,Vendor Blog Network (Spun-Content PBN),High,Link-level (in 50k sample),"P2 - Follow links, low volume",1,1,1,6,104.21.80.209,104.21.80.0/24,Cloudflare (shared CDN),,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1,read more,1,0%,0%,4,0%,yes,2026-01-11,2026-08-07,domain:blogspothub.com,Free-blog-host domain used exclusively by link vendors; 1 link(s) on throwaway auto-generated accounts.
blogunteer.com,DISAVOW,Vendor Blog Network (Spun-Content PBN),High,Link-level (in 50k sample),"P2 - Follow links, low volume",1,1,1,6,172.67.141.152,172.67.141.0/24,Cloudflare (shared CDN),,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1,energy supplements,1,0%,0%,4,0%,yes,2026-02-27,2026-07-07,domain:blogunteer.com,Free-blog-host domain used exclusively by link vendors; 1 link(s) on throwaway auto-generated accounts.
blueinblue.com,DISAVOW,Link Farm / Outbound-Link Bloat,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,118.139.177.45,118.139.177.0/24,,sg,https://www.performancelab.com/collections/all-products,nutropic.com,1,0%,0%,3500,100%,no,2026-02-04,2026-02-04,domain:blueinblue.com,Average 3500 external links per source page across machine-generated URLs (100% of linking pages).
businessnewses.com,DISAVOW,Shared Link-Template Footprint (Same Operator),High,Link-level (in 50k sample),-,1,1,1,5,159.198.75.134,159.198.75.0/24,,us,https://performancelab.com/,performancelab,1,0%,100%,3136,0%,no,2025-08-13,2026-05-31,domain:businessnewses.com,"Links from the path '/exploring-conversational-ai-for-personalized-e-comm', served byte-identically by 40 other referring domains. One operator's script deployed across many hosts, not independent editorial placements."
buyseolinks.site,DISAVOW,Link-Selling / SEO Vendor Domain,High,Domain-level only (outside sample),P2 - Follow status unknown,1,0,,2,199.188.206.19,199.188.206.0/24,,us,,,,,,,,,2026-08-02,2026-08-18,domain:buyseolinks.site,Domain name advertises link sales or SEO link services.
buzzshrink.website,DISAVOW,PBN Hosting Footprint (Cluster Propagation),High,Link-level (in 50k sample),-,1,1,0,6,195.20.19.178,195.20.19.0/24,,md,https://performancelab.com/,performancelab.com,1,0%,100%,3500,100%,no,2026-07-29,2026-07-29,domain:buzzshrink.website,"13 of 19 domains on 195.20.19.0/24 are condemned, 13 of them on evidence independent of hosting (link-vendor naming, directory spam, generated siblings). Not a mainstream host, so co-location indicates the same operator."
campingtours.in,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,118.139.181.189,118.139.181.0/24,,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2026-02-07,2026-03-28,domain:campingtours.in,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
cashbackdeals.in,DISAVOW,Shared Link-Template Footprint (Same Operator),High,Link-level (in 50k sample) + risk triage (lowest tier),-,1,1,0,2,184.168.109.253,184.168.109.0/24,GoDaddy shared hosting,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2025-11-16,2026-06-10,domain:cashbackdeals.in,"Links from the path '/domain-list-456', served byte-identically by 96 other referring domains. One operator's script deployed across many hosts, not independent editorial placements."
clicktohigh.com,DISAVOW,Shared Link-Template Footprint (Same Operator),High,Link-level (in 50k sample),-,1,1,1,5,159.198.75.134,159.198.75.0/24,,us,https://performancelab.com/,performancelab,1,0%,100%,3134,0%,no,2025-11-06,2026-06-06,domain:clicktohigh.com,"Links from the path '/exploring-conversational-ai-for-personalized-e-comm', served byte-identically by 40 other referring domains. One operator's script deployed across many hosts, not independent editorial placements."
constitute.net,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,68.178.236.247,68.178.236.0/24,,us,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2026-02-26,2026-08-14,domain:constitute.net,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
cpl.co.in,DISAVOW,PBN Hosting Footprint (Shared C-Block),High,Domain-level only (outside sample),P2 - Follow status unknown,1,0,,2,118.139.181.255,118.139.181.0/24,,sg,,,,,,,,,2026-04-14,2026-08-14,domain:cpl.co.in,"67 referring domains share 118.139.181.0/24 with a median authority of 2 — a single-owner footprint, not a mainstream host."
cricketinfo.co.in,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,10,118.139.181.255,118.139.181.0/24,,sg,http://performancelab.com/,performancelab.com,1,0%,100%,981,100%,no,2025-04-07,2026-07-10,domain:cricketinfo.co.in,"Average 981 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
cricketlive.co.in,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,8,184.168.110.97,184.168.110.0/24,GoDaddy shared hosting,sg,http://performancelab.com/,performancelab.com,1,0%,100%,981,100%,no,2025-05-08,2026-08-19,domain:cricketlive.co.in,"Average 981 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
defender.co.in,DISAVOW,PBN Hosting Footprint (Shared C-Block),High,Domain-level only (outside sample),P2 - Follow status unknown,1,0,,2,118.139.181.255,118.139.181.0/24,,sg,,,,,,,,,2026-08-18,2026-08-18,domain:defender.co.in,"67 referring domains share 118.139.181.0/24 with a median authority of 2 — a single-owner footprint, not a mainstream host."
digitalseotool.com,DISAVOW,Link-Selling / SEO Vendor Domain,High,Domain-level only (outside sample),P2 - Follow status unknown,1,0,,2,172.67.171.240,172.67.171.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-06-28,2026-08-12,domain:digitalseotool.com,Domain name advertises link sales or SEO link services.
directorycell.com,DISAVOW,Shared Link-Template Footprint (Same Operator),High,Link-level (in 50k sample),-,1,1,1,5,104.21.26.230,104.21.26.0/24,Cloudflare (shared CDN),,https://performancelab.com/,performancelab,1,0%,100%,3134,0%,no,2026-01-18,2026-08-15,domain:directorycell.com,"Links from the path '/exploring-conversational-ai-for-personalized-e-comm', served byte-identically by 40 other referring domains. One operator's script deployed across many hosts, not independent editorial placements."
directoryhere.com,DISAVOW,Directory Submission Spam Network,High,"Link-level, overridden by structural signature",P2 - Follow status unknown,1,0,,5,172.67.170.187,172.67.170.0/24,Cloudflare (shared CDN),,,,,,,,,,2025-11-22,2026-06-16,domain:directoryhere.com,Generic web directory at authority score 5. Directory submission is a link scheme and these are auto-generated; 278 such domains link to the site.
directoryoflink.com,DISAVOW,Directory / Link-Scheme Spam Footprint,High,Link-level (in 50k sample),"P2 - Follow links, low volume",1,1,1,5,104.21.60.133,104.21.60.0/24,Cloudflare (shared CDN),,https://performancelab.com/,performancelab,1,0%,100%,2895,0%,no,2025-06-28,2026-08-09,domain:directoryoflink.com,Domain name matches a link-scheme or paid-directory pattern.
domainnamesbook.com,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,184.168.115.25,184.168.115.0/24,GoDaddy shared hosting,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2025-07-14,2026-04-01,domain:domainnamesbook.com,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
domainnameshub.com,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,184.168.115.25,184.168.115.0/24,GoDaddy shared hosting,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2025-06-05,2026-04-14,domain:domainnameshub.com,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
domains.foundation,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,184.168.109.253,184.168.109.0/24,GoDaddy shared hosting,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2026-01-31,2026-08-07,domain:domains.foundation,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
domainsdirectory.org,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,118.139.181.255,118.139.181.0/24,,sg,http://performancelab.com/,performancelab.com,1,0%,100%,981,100%,no,2025-02-08,2026-08-15,domain:domainsdirectory.org,"Average 981 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
domainsquiz.com,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,184.168.116.137,184.168.116.0/24,GoDaddy shared hosting,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2025-07-06,2026-04-20,domain:domainsquiz.com,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
easydirectory.in,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,118.139.181.255,118.139.181.0/24,,sg,http://performancelab.com/,performancelab.com,1,0%,100%,981,100%,no,2025-06-22,2026-07-31,domain:easydirectory.in,"Average 981 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
elbloglibre.com,DISAVOW,Vendor Blog Network (Spun-Content PBN),High,Link-level (in 50k sample),"P2 - Follow links, low volume",1,1,1,6,172.67.194.146,172.67.194.0/24,Cloudflare (shared CDN),,https://www.performancelab.com/collections/all-products,more info,1,0%,0%,2,0%,yes,2025-09-03,2026-02-09,domain:elbloglibre.com,Free-blog-host domain used exclusively by link vendors; 1 link(s) on throwaway auto-generated accounts.
en-en-prozenith.us,DISAVOW,Synthetic Affiliate Doorway Domain,High,Link-level (in 50k sample),"P2 - Follow links, low volume",1,1,1,2,172.67.192.75,172.67.192.0/24,Cloudflare (shared CDN),,https://www.performancelab.com/blogs/energy/black-pepper-extract-benefits-and-side-effects,Black Pepper Extract,1,0%,0%,13,0%,no,2026-01-09,2026-08-21,domain:en-en-prozenith.us,Geo-prefixed / doubled-hyphen domain pattern characteristic of throwaway affiliate offer pages for unrelated products.
en-purdentix-us.com,DISAVOW,Synthetic Affiliate Doorway Domain,High,Link-level (in 50k sample),"P2 - Follow links, low volume",1,1,1,6,91.108.103.188,91.108.103.0/24,,gb,https://www.performancelab.com/blogs/multi/vitamin-c-with-d3,vitamins C and D,1,0%,0%,2,0%,yes,2025-04-25,2026-04-30,domain:en-purdentix-us.com,Geo-prefixed / doubled-hyphen domain pattern characteristic of throwaway affiliate offer pages for unrelated products.
entiredomains.space,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,184.168.115.25,184.168.115.0/24,GoDaddy shared hosting,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2025-11-09,2026-05-02,domain:entiredomains.space,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
entuev.com,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,172.67.140.90,172.67.140.0/24,Cloudflare (shared CDN),,https://www.performancelab.com/blogs/nutrition/vitamin-a-for-men,🍪 TELEGRAM @SALESOVEN | ACCESS TO HACKED SITES FOR SEO | HTTPS://T.ME/SALESOVEN 🔥,1,0%,0%,3003,100%,no,2026-02-25,2026-08-02,domain:entuev.com,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
example3.com,DISAVOW,Link Farm / Outbound-Link Bloat,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,16,104.26.14.194,104.26.14.0/24,Cloudflare (shared CDN),,https://performancelab.com/,(empty/image),1,0%,0%,1917,100%,no,2025-11-06,2026-04-06,domain:example3.com,Average 1917 external links per source page across machine-generated URLs (100% of linking pages).
exampledirectory.com,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,3,68.178.238.49,68.178.238.0/24,,us,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2025-04-14,2026-02-25,domain:exampledirectory.com,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
feelfree.in,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,7,184.168.110.97,184.168.110.0/24,GoDaddy shared hosting,sg,http://performancelab.com/,performancelab.com,1,0%,100%,981,100%,no,2025-01-29,2026-07-29,domain:feelfree.in,"Average 981 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
foodbus.in,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,118.139.181.255,118.139.181.0/24,,sg,http://performancelab.com/,performancelab.com,1,0%,100%,981,100%,no,2025-05-20,2026-08-07,domain:foodbus.in,"Average 981 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
freeworlddirectory.com,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,184.168.115.25,184.168.115.0/24,GoDaddy shared hosting,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2025-07-03,2026-06-10,domain:freeworlddirectory.com,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
fullclassical.com,DISAVOW,PBN Hosting Footprint (Shared C-Block),High,Domain-level only (outside sample),P2 - Follow status unknown,1,0,,2,68.178.238.49,68.178.238.0/24,,us,,,,,,,,,2026-05-16,2026-05-16,domain:fullclassical.com,"11 referring domains share 68.178.238.0/24 with a median authority of 2 — a single-owner footprint, not a mainstream host."
general-health-spectrum.com,DISAVOW,Verbatim Scraped-Content Clone,High,Link-level (in 50k sample),-,1,1,1,2,209.124.66.7,209.124.66.0/24,,us,https://uk.performancelab.com/products/d3k2,Performance Lab (from £19),1,0%,100%,54,0%,yes,2026-01-24,2026-08-15,domain:general-health-spectrum.com,"Carries the verbatim anchor 'Performance Lab (from £19)', which appears on 18 other referring domains including established publishers. A lifted commerce table at authority 2, not original content."
generalknowledge.net.in,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,184.168.115.60,184.168.115.0/24,GoDaddy shared hosting,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2026-01-07,2026-08-20,domain:generalknowledge.net.in,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
genuinewebdirectory.com,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,184.168.116.137,184.168.116.0/24,GoDaddy shared hosting,sg,http://performancelab.com/,performancelab.com,1,0%,100%,1000,100%,no,2026-01-08,2026-08-21,domain:genuinewebdirectory.com,"Average 1000 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
getblogs.net,DISAVOW,Vendor Blog Network (Spun-Content PBN),High,Link-level (in 50k sample),"P2 - Follow links, low volume",1,1,1,6,172.67.140.65,172.67.140.0/24,Cloudflare (shared CDN),,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1,fish oil supplements,1,0%,0%,2,0%,yes,2026-08-01,2026-08-01,domain:getblogs.net,Free-blog-host domain used exclusively by link vendors; 1 link(s) on throwaway auto-generated accounts.
globallinkdirectory.com,DISAVOW,Directory / Link-Scheme Spam Footprint,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,2,118.139.181.255,118.139.181.0/24,,sg,http://performancelab.com/,performancelab.com,1,0%,100%,981,100%,no,2025-05-25,2026-03-14,domain:globallinkdirectory.com,Domain name matches a link-scheme or paid-directory pattern.
globalproseo.com,DISAVOW,Shared Link-Template Footprint (Same Operator),High,Link-level (in 50k sample),-,1,1,1,4,159.198.75.134,159.198.75.0/24,,us,https://performancelab.com/,performancelab,1,0%,100%,3134,0%,no,2025-08-11,2026-06-25,domain:globalproseo.com,"Links from the path '/exploring-conversational-ai-for-personalized-e-comm', served byte-identically by 40 other referring domains. One operator's script deployed across many hosts, not independent editorial placements."
globalseoarticles.com,DISAVOW,Shared Link-Template Footprint (Same Operator),High,Link-level (in 50k sample),-,1,1,1,5,159.198.75.134,159.198.75.0/24,,us,https://performancelab.com/,performancelab,1,0%,100%,3134,0%,no,2025-10-25,2026-06-05,domain:globalseoarticles.com,"Links from the path '/exploring-conversational-ai-for-personalized-e-comm', served byte-identically by 40 other referring domains. One operator's script deployed across many hosts, not independent editorial placements."
globalseodirectory.com,DISAVOW,Directory / Link-Scheme Spam Footprint,High,Link-level (in 50k sample),"P2 - Follow links, low volume",1,1,1,5,159.198.75.134,159.198.75.0/24,,us,https://performancelab.com/,performancelab,1,0%,100%,3134,0%,no,2025-10-28,2026-06-09,domain:globalseodirectory.com,Domain name matches a link-scheme or paid-directory pattern.
gynoblog.com,DISAVOW,Throwaway Auto-Generated Host,High,Link-level (in 50k sample),"P2 - Follow links, low volume",1,1,1,6,104.21.72.103,104.21.72.0/24,Cloudflare (shared CDN),,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1,more info,1,0%,0%,4,0%,yes,2025-12-22,2026-07-19,domain:gynoblog.com,Randomly generated account subdomain — disposable link-vendor infrastructure.
hansika.co.in,DISAVOW,Link Farm / Bare-Domain Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),1,1,0,9,118.139.181.255,118.139.181.0/24,,sg,http://performancelab.com/,performancelab.com,1,0%,100%,981,100%,no,2025-11-07,2026-08-11,domain:hansika.co.in,"Average 981 outbound links per page with bare-domain anchors on machine-generated URLs — a directory listing, not a citation."
