domain,decision,priority,strict_verdict,why,follow,aclass,example_anchor,backlink_url,authority,dr,ascore,traffic,positions,is_spam,links,ip,country,tier_reason,link_checked
lpraudit.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,generic,Open Website,https://reports.lpraudit.com/georgia/atlanta/window-installation/,6,0.0,6,0,0,,1,3.162.112.94,us,"dofollow, generic anchor — verify",yes
marcmphotography.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://www.marcmphotography.com/exterior-shutters-atlanta-georgia/,0.0,0.0,0,0,0,,4,,,"dofollow, generic anchor — verify",yes
mcglobalconstruction.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,other,frame rot,https://www.mcglobalconstruction.com/windows/how-long-does-it-take-to-install-windows/,8,0.0,8,0,0,,1,35.212.81.132,us,"dofollow, generic anchor — verify",yes
megforit.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,ngwindows.com,https://www.megforit.com/design-tricks-to-allow-more-natural-light-into-your-home/,17,0.0,17,0,0,,1,34.174.21.213,us,"dofollow, generic anchor — verify",yes
midtownhi.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,NG Windows,https://midtownhi.com/about-us/news/triple-pane-window-benefits/,27,0.0,27,0,0,,1,69.46.46.73,us,"dofollow, generic anchor — verify",yes
mixwebup.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,nofollow,empty/blank,,https://mixwebup.com/p/4815,5,0.0,5,0,0,,1,104.21.81.154,,"low-quality, no spam signal",yes
modatrend.net,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,nofollow,empty/blank,.,http://modatrend.net/minimalist-apartment-japan/windows-are-used-to-bring-the.html,0.0,0.0,0,0,0,,1,,,"low-quality, no spam signal",yes
mybeautifuladventures.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,www.ngwindows.com,https://mybeautifuladventures.com/2022/12/27/do-not-make-these-renovation-mistakes-when-building-a-dream-kitchen/,20,0.0,20,0,0,,1,151.101.66.159,us,"dofollow, generic anchor — verify",yes
myfrontporch.news,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,other,Book,https://myfrontporch.news/neighborhood/326/managementco/0451/vendors/window-door-replacement/,2,0.0,2,0,0,,2,100.29.208.54,us,"dofollow, generic anchor — verify",yes
mylike.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://www.mylike.us/the-bow-window.html,0.0,0.0,0,0,0,,3,,,"dofollow, generic anchor — verify",yes
myquestion.info,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,nofollow,empty/blank,,http://www.myquestion.info/search/enerbank-usa-payment,0.0,0.0,0,0,0,,8,,,"low-quality, no spam signal",yes
nashvillefallhomeshow.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,generic,Visit Website,https://www.nashvillefallhomeshow.com/exhibitor-list/exhibitors/detail/ng-windows/FC682B0F-A9A0-6E0A-BE1E-FF0000415D3A,21,0.0,21,0,0,,9,150.171.109.245,us,"dofollow, generic anchor — verify",yes
neededinthehome.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,North Georgia Replacement Windows,https://neededinthehome.com/3-helpful-ways-to-keep-your-house-cool-this-summer/,15,0.0,15,0,0,,1,198.72.127.74,ca,"dofollow, generic anchor — verify",yes
newsblogsports.site,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,generic,Best Pinterest Tool SiteToSocial.com to Grow Your Website Traffic Fully Automated,https://newsblogsports.site/all/358/10,2,0.0,2,0,0,,1,104.21.51.36,,"dofollow, generic anchor — verify",yes
ngawindows.com,REVIEW,Review (manual),hold — verify ownership,Possibly YOUR OWN microsite — verify before disavow,dofollow,empty/blank,,http://ngawindows.com/,2,0.0,2,0,0,,4,15.197.225.128,us,own-microsite cluster,yes
ngwindow.com,REVIEW,Review (manual),hold — verify ownership,Possibly YOUR OWN microsite — verify before disavow,dofollow,empty/blank,,http://ngwindow.com/,2,0.0,2,0,0,,2,15.197.142.173,us,own-microsite cluster,yes
northatlantastar.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,generic,Website,https://northatlantastar.com/window-replacement-companies-johns-creek-alpharetta/,14,0.0,14,0,0,,2,172.67.140.253,,"dofollow, generic anchor — verify",yes
northgawindows.com,REVIEW,Review (manual),hold — verify ownership,Possibly YOUR OWN microsite — verify before disavow,dofollow,empty/blank,,http://northgawindows.com/,2,0.0,2,0,0,,2,3.33.152.147,us,own-microsite cluster,yes
northgeorgiawindow.com,REVIEW,Review (manual),hold — verify ownership,Possibly YOUR OWN microsite — verify before disavow,dofollow,empty/blank,,http://northgeorgiawindow.com/,2,0.0,2,0,0,,3,3.33.152.147,us,own-microsite cluster,yes
northgeorgiawindows.net,REVIEW,Review (manual),hold — verify ownership,Possibly YOUR OWN microsite — verify before disavow,dofollow,empty/blank,,http://northgeorgiawindows.net/,2,0.0,2,0,0,,6,15.197.225.128,us,own-microsite cluster,yes
northpointwindows.com,REVIEW,Review (manual),hold — verify ownership,Possibly YOUR OWN microsite — verify before disavow,dofollow,empty/blank,,http://northpointwindows.com/,2,0.0,2,0,0,,6,3.33.251.168,us,own-microsite cluster,yes
nowiveseeneverything.club,REVIEW,Review (manual),confirmed,Borderline — manual check,nofollow,other,curtains,https://nowiveseeneverything.club/articles/9-unorthodox-ways-you-can-keep-yourself-cool-during-the-summer-9479/,17,0.0,17,0,0,,1,213.196.36.228,nl,"low-quality, no spam signal",yes
okna-togliatty.ru,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,other,energy audit for home performance,http://okna-togliatty.ru/montazh-plastikovykh-okon/30-okna-dlya-vas,0.0,0.0,0,0,0,,2,,,"dofollow, generic anchor — verify",yes
olumlubak.club,REVIEW,Review (manual),confirmed,Borderline — manual check,nofollow,other,perdeleri ya da panjurları,https://olumlubak.club/ilham-ipuclari-ve-taktikler/sicak-hava-dalgalariyla-nasil-mucadele-edeceginize-dair-8-ipucu-2514515/,13,0.0,13,0,0,,1,213.196.36.236,nl,"low-quality, no spam signal",yes
performingwindows.com,REVIEW,Review (manual),hold — verify ownership,Possibly YOUR OWN microsite — verify before disavow,dofollow,empty/blank,,http://performingwindows.com/,2,0.0,2,0,0,,5,3.33.251.168,us,own-microsite cluster,yes
pinqube.com,REVIEW,Review (manual),confirmed,Low authority — manual check,,empty/blank,,,0.0,0.0,0,38,16,,2,104.21.17.151,,"low-quality, no spam signal",no (beyond sample)
power100.io,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,North Georgia Replacement Windows,https://power100.io/power100-names-46-50-best-home-improvement-ceos-in-the-nation-for-2026/,16,0.0,16,0,0,,2,104.21.29.38,,"dofollow, generic anchor — verify",yes
professionalwindowcleaning.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,the effectiveness of natural cleaners at NGWindows.com,https://www.professionalwindowcleaning.com/post/how-to-clean-windows-with-vinegar,28,0.0,28,0,0,,1,198.202.211.1,us,"dofollow, generic anchor — verify",yes
purahealthy.net,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,6,https://purahealthy.net/the-8-best-commercial-stair-climbers-of-2024-tested-by-our-experts/,0.0,0.0,0,0,0,,1,209.59.158.108,,"dofollow, generic anchor — verify",yes
qscam.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,2,145.79.209.143,,"low-quality, no spam signal",no (beyond sample)
quality-hd-wallpapers.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://www.quality-hd-wallpapers.us/the-bow-window.html,0.0,0.0,0,0,0,,3,,,"dofollow, generic anchor — verify",yes
qualitypluswindows.com,REVIEW,Review (manual),hold — verify ownership,Possibly YOUR OWN microsite — verify before disavow,dofollow,empty/blank,,http://qualitypluswindows.com/,2,0.0,2,0,0,,5,3.33.251.168,us,own-microsite cluster,yes
reness.pics,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,50,188.114.96.2,,"low-quality, no spam signal",no (beyond sample)
reputablebusinesses.com,REVIEW,Review (manual),confirmed,Borderline — manual check,nofollow,commercial,North Georgia Replacement Windows,https://www.reputablebusinesses.com/230422/north-georgia-replacement-windows,15,0.0,15,0,0,,3,145.223.126.72,us,"low-quality, no spam signal",yes
residencetalk.com,REVIEW,Review (manual),confirmed,Borderline — manual check,nofollow,commercial,replacing windows in your home,https://residencetalk.com/3-things-to-consider-when-replacing-windows-in-your-home/,15,0.0,15,0,0,,1,104.21.36.32,,"low-quality, no spam signal",yes
revaliew.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,nofollow,generic,Visit Website,https://revaliew.com/businesses/ngwindows.com,2,0.0,2,0,0,,4,104.21.53.59,,"low-quality, no spam signal",yes
reversemortgagequote.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://reversemortgagequote.us/pictures-of-bow-windows.html,0.0,0.0,0,0,0,,5,,,"dofollow, generic anchor — verify",yes
rhynepark.org,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,empty/blank,,https://www.rhynepark.org/,9,0.0,9,0,0,,1,104.17.201.145,,"dofollow, generic anchor — verify",yes
riverranch.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,3,,,"low-quality, no spam signal",no (beyond sample)
roiwindows.com,REVIEW,Review (manual),hold — verify ownership,Possibly YOUR OWN microsite — verify before disavow,dofollow,empty/blank,,http://roiwindows.com/,2,0.0,2,0,0,,6,15.197.225.128,us,own-microsite cluster,yes
roswellartfestival.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,https://www.ngwindows.com,http://www.roswellartfestival.com/general-info-2/,19,0.0,19,0,0,,4,173.201.184.150,us,"dofollow, generic anchor — verify",yes
ryanssearch.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,generic,Our Website,https://ryanssearch.com/business/north-georgia-replacement-windows,5,0.0,5,0,0,,1,195.35.60.6,us,"dofollow, generic anchor — verify",yes
shabbychicboho.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,fiberglass windows,https://shabbychicboho.com/top-reasons-to-upgrade-your-windows/,19,0.0,19,0,0,,1,172.67.192.115,,"dofollow, generic anchor — verify",yes
showmehydroclean.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,other,biodegradable cleaning solutions,https://showmehydroclean.com/window-washing-service-early-this-year/,9,0.0,9,0,0,,1,149.28.107.249,us,"dofollow, generic anchor — verify",yes
sicsemperva.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,2,,,"low-quality, no spam signal",no (beyond sample)
sitestats.top,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,nofollow,empty/blank,,https://sitestats.top/clarkhallirondoors.com/,0.0,0.0,0,0,0,,2,,,"low-quality, no spam signal",yes
skyfiveproperties.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,replacement windows,https://www.skyfiveproperties.com/blog/big-considerations-investing-second-property,21,0.0,21,0,0,,1,141.193.213.10,us,"dofollow, generic anchor — verify",yes
smallwindows.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,68,,,"low-quality, no spam signal",no (beyond sample)
smartmoneys.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,22,,,"low-quality, no spam signal",no (beyond sample)
smb.co,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,ngwindows.com/?utm_source=GMBlisting&utm_medium=organic,https://smb.co/search?q=Martin-Georgia,27,0.0,27,0,0,,1,172.67.69.39,,"dofollow, generic anchor — verify",yes
sonnenseite.site,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,nofollow,other,Vorhänge,https://sonnenseite.site/articles/8-tipps-die-bei-einer-sommerlichen-hitzewelle-helfen-9421/,4,0.0,4,0,0,,1,148.113.199.75,ca,"low-quality, no spam signal",yes
sq-kj.net,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,6,http://m.sq-kj.net/index-982.html,2,0.0,2,0,0,,1,34.92.162.42,hk,"dofollow, generic anchor — verify",yes
ssreteam.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,nofollow,generic,Visit Website,https://ssreteam.com/our-preferred-vendors/,2,0.0,2,0,0,,1,34.102.120.206,us,"low-quality, no spam signal",yes
suggest-tool.ru,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,4,,,"low-quality, no spam signal",no (beyond sample)
sunshinervresorts.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://www.sunshinervresorts.us/bowed-window.html,0.0,0.0,0,0,0,,2,,,"dofollow, generic anchor — verify",yes
thebuildermarket.com,REVIEW,Review (manual),confirmed,Borderline — manual check,nofollow,generic,Website,https://thebuildermarket.com/us/ga/east-point/windows/,22,0.0,22,0,0,,8,172.67.75.244,,"low-quality, no spam signal",yes
thecodex.wiki,REVIEW,Review (manual),confirmed,Borderline — manual check,nofollow,commercial,The standard thickness of a door is 1 3/8 inches or 3.4925 centimeters,https://thecodex.wiki/Reference_for_Common_Feats,22,0.0,22,0,0,,1,174.138.37.165,us,"low-quality, no spam signal",yes
thededicatedhouse.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,North Georgia Replacement Windows,https://thededicatedhouse.com/3-best-home-improvement-ideas/,20,0.0,20,0,0,,1,172.67.156.71,,"dofollow, generic anchor — verify",yes
thenewz.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,1,,,"low-quality, no spam signal",no (beyond sample)
thermalastwindows.com,REVIEW,Review (manual),hold — verify ownership,Possibly YOUR OWN microsite — verify before disavow,dofollow,empty/blank,,http://thermalastwindows.com/,2,0.0,2,0,0,,3,3.33.152.147,us,own-microsite cluster,yes
thermalprowindows.com,REVIEW,Review (manual),hold — verify ownership,Possibly YOUR OWN microsite — verify before disavow,dofollow,empty/blank,,http://thermalprowindows.com/,2,0.0,2,0,0,,5,15.197.225.128,us,own-microsite cluster,yes
thermatrustwindows.com,REVIEW,Review (manual),hold — verify ownership,Possibly YOUR OWN microsite — verify before disavow,dofollow,empty/blank,,http://thermatrustwindows.com/,2,0.0,2,0,0,,4,3.33.251.168,us,own-microsite cluster,yes
thesweetestlittlelife.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,window installation service,https://thesweetestlittlelife.com/2022/11/08/4-reasons-why-your-home-needs-more-natural-light/,20,0.0,20,0,0,,1,192.0.78.243,us,"dofollow, generic anchor — verify",yes
todaywindowsdoors.com,REVIEW,Review (manual),confirmed,Low authority — manual check,dofollow,commercial,NG Windows,https://todaywindowsdoors.com/blogs/news/how-to-soundproof-your-home-with-the-right-windows,2,0.0,2,1,1,,3,23.227.38.65,ca,"dofollow, generic anchor — verify",yes
topsitessearch.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,nofollow,empty/blank,,https://www.topsitessearch.com/ngwindows.com/,5,0.0,5,0,0,,1,172.67.143.123,,"low-quality, no spam signal",yes
trendshomedesign.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,nofollow,other,Efficient Floor Plans 2014 furthermore Texas Architecture Firm Designs Prefab Leed Certified Homes in addition Self Sustaining House Floor Plans besides Earthship Homes House Plans,http://www.trendshomedesign.us/zero/zero-energy-house-designs,0.0,0.0,0,0,0,,1,,,"low-quality, no spam signal",yes
trustedhomeinstallers.com,REVIEW,Review (manual),confirmed,Low authority — manual check,nofollow,generic,Website (Link),https://trustedhomeinstallers.com/cabinet-installers/georgia/alpharetta/,2,0.0,2,0,1,,19,192.0.78.152,us,"low-quality, no spam signal",yes
uahot.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,nofollow,generic,Visit Website,https://www.uahot.com/business-91541.htm,5,0.0,5,0,0,,4,169.59.200.49,us,"low-quality, no spam signal",yes
unitedkingdominbusiness.co.uk,REVIEW,Review (manual),confirmed,Borderline — manual check,nofollow,commercial,http://www.ngwindows.com,https://www.unitedkingdominbusiness.co.uk/Company/185704/Plastic-Cybi-Plastics-Paint-Tools/0-LL606H-Gaerwen-01248422012,19,0.0,19,0,0,,1,172.67.163.151,,"low-quality, no spam signal",yes
upsell.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,4,,,"low-quality, no spam signal",no (beyond sample)
viainkdesign.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,other,"WebWe look forward to meeting you at our showroom! Address: 1210 Warsaw Road Suite 1000 Roswell, GA 30076. Hours: Mon. - Fri. - 8:00 AM - 5:00 PM* Sat. - 10:00 AM - 2:00 PM* …",https://jqff.viainkdesign.com/north-georgia-windows-showroom/39451071,0.0,0.0,0,0,0,,2,104.21.23.192,,"dofollow, generic anchor — verify",yes
wackyworld.org,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,empty/blank,,https://www.wackyworld.org/sponsors,10,0.0,10,0,0,,1,198.185.159.145,us,"dofollow, generic anchor — verify",yes
wallfree.ninja,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,nofollow,generic,Download,http://wallfree.ninja/pict/bay-window-exterior-designs/9/traditional-exterior-by-todd-davis-architecture,0.0,0.0,0,0,0,,1,,,"low-quality, no spam signal",yes
wallpapersist.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://wallpapersist.com/porch-enclosure-systems.html,0.0,0.0,0,0,0,,1,,,"dofollow, generic anchor — verify",yes
weaverexterior.ca,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,custom window colour to complement the rest of the home,https://weaverexterior.ca/windows-project-innisfil-custom-colour/,19,0.0,19,0,0,,1,172.67.146.82,,"dofollow, generic anchor — verify",yes
whatzonyourmind.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,other,View full size,http://www.whatzonyourmind.com/index.php?page=search/images&search=good+window+replacement+companies&type=images,0.0,0.0,0,0,0,,4,,,"dofollow, generic anchor — verify",yes
whosmypro.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,133,76.13.115.83,,"low-quality, no spam signal",no (beyond sample)
windorpro.co.za,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,other,this guide,https://www.windorpro.co.za/wood-to-aluminium-window-conversion/,9,0.0,9,0,0,,2,169.255.59.76,za,"dofollow, generic anchor — verify",yes
windowdoor-test.com,REVIEW,Review (manual),hold — verify ownership,Possibly YOUR OWN microsite — verify before disavow,dofollow,commercial,North Georgia Replacement Windows Inc.,http://windowdoor-test.com/article/and-winners-are,2,0.0,2,0,0,,14,54.82.179.35,us,own-microsite cluster,yes
windowrank.com,REVIEW,Review (manual),confirmed,Low authority — manual check,nofollow,commercial,https://www.ngwindows.com/service-areas/replacement-windows-and-doors-alpharetta-ga,https://windowrank.com/sliding-glass-door-replacement-installation/ga/alpharetta-ga,6,0.0,6,8,4,,26,216.150.1.1,us,"low-quality, no spam signal",yes
xiaobook.net,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,1,,,"low-quality, no spam signal",no (beyond sample)
xoxo6.info,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,nofollow,generic,Download,http://xoxo6.info/pict/bow-windows-exterior/6/best-hunting-blinds-and-feeders-in-texas,0.0,0.0,0,0,0,,1,,,"low-quality, no spam signal",yes
yourrights.co,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://yourrights.co/adagio-apartments-la-mesa-ca-91942/photos-32-/,0.0,0.0,0,0,0,,1,,,"dofollow, generic anchor — verify",yes
yucatanhomeinspect.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,2,,,"low-quality, no spam signal",no (beyond sample)
zuke315.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://zuke315.com/bow-window-roof.html,0.0,0.0,0,0,0,,3,,,"dofollow, generic anchor — verify",yes
zybsfood.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,other,#12 404 Page Not Found Error Ever feel like youre in the wrong place #12 404 Page Not Found Error Ever feel like youre in the wrong place,http://www.zybsfood.com/remodeling-kitchen.html,0.0,0.0,0,0,0,,1,,,"dofollow, generic anchor — verify",yes
